dataset,device,input_shape,kind,meta_classes,meta_features,meta_regimes,meta_test_shift,meta_test_size,meta_train_shift,meta_train_size,meta_window,metrics_test_accuracy,metrics_test_macro_f1,metrics_test_mae,metrics_test_mase,metrics_test_mse,metrics_test_nrmse,metrics_test_r2,metrics_test_rmse,metrics_test_smape,metrics_train_accuracy,metrics_train_macro_f1,metrics_train_mae,metrics_train_mase,metrics_train_mse,metrics_train_nrmse,metrics_train_r2,metrics_train_rmse,metrics_train_smape,model,n_params,preds_path,run_id,seed,status,task,test_size,train_size,train_time_s
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,0.884269654750824,0.5688353003742624,1.6842024326324463,0.1533447193193552,0.17747938632965088,1.2977682507414203,0.7930717468261719,,,0.11793921887874603,0.10094392683562657,0.023016441613435745,0.012901452221221419,0.9810487274080515,0.15171170559134764,0.2458467185497284,wrn_base,52295,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__wrn_base__seed1.npz,tabular_shifted:wrn_base:seed1,1,ok,regression,256,1024,4.853202100144699
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,0.8044660091400146,0.5454326787268283,1.2305107116699219,0.14314024608554807,0.30971193313598633,1.109283873347991,0.7244884967803955,,,0.11467476189136505,0.10425256060246946,0.02270692214369774,0.016478605237579907,0.9774576351046562,0.15068816192288542,0.24933573603630066,wrn_no_film,52295,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__wrn_no_film__seed0.npz,tabular_shifted:wrn_no_film:seed0,0,ok,regression,256,1024,4.410733999917284
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,0.884269654750824,0.5688353003742624,1.6842024326324463,0.1533447193193552,0.17747938632965088,1.2977682507414203,0.7930717468261719,,,0.11793921887874603,0.10094392683562657,0.023016441613435745,0.012901452221221419,0.9810487274080515,0.15171170559134764,0.2458467185497284,wrn_no_film,52295,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__wrn_no_film__seed1.npz,tabular_shifted:wrn_no_film:seed1,1,ok,regression,256,1024,6.822316299891099
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,0.8044660091400146,0.5454326787268283,1.2305107116699219,0.14314024608554807,0.30971193313598633,1.109283873347991,0.7244884967803955,,,0.11467476189136505,0.10425256060246946,0.02270692214369774,0.016478605237579907,0.9774576351046562,0.15068816192288542,0.24933573603630066,wrn_no_phase,52295,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__wrn_no_phase__seed0.npz,tabular_shifted:wrn_no_phase:seed0,0,ok,regression,256,1024,4.288711000001058
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,0.884269654750824,0.5688353003742624,1.6842024326324463,0.1533447193193552,0.17747938632965088,1.2977682507414203,0.7930717468261719,,,0.11793921887874603,0.10094392683562657,0.023016441613435745,0.012901452221221419,0.9810487274080515,0.15171170559134764,0.2458467185497284,wrn_no_phase,52295,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__wrn_no_phase__seed1.npz,tabular_shifted:wrn_no_phase:seed1,1,ok,regression,256,1024,7.300737800076604
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.29678791761398315,0.2846065347630054,0.13487404584884644,0.0956923598221701,0.8169354349374771,0.36725201952997677,0.650475263595581,,,0.04615212604403496,0.047461203296509984,0.004038047511130571,0.0150975176171281,0.9945210395380855,0.0635456332971084,0.15425291657447815,res_base,35781,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__res_base__seed0.npz,tabular_sine:res_base:seed0,0,ok,regression,256,1024,20.76220740005374
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.34056439995765686,0.3257194936679997,0.18485429883003235,0.11552922673014261,0.7334084510803223,0.4299468558206146,0.7280551791191101,,,0.05076787248253822,0.0510757753457243,0.004498654510825872,0.016105143756128124,0.9939909991808236,0.06707200989105569,0.16630275547504425,res_base,35781,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__res_base__seed1.npz,tabular_sine:res_base:seed1,1,ok,regression,256,1024,3.6699238000437617
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.31143718957901,0.29865454104400874,0.1531989872455597,0.10198610813994897,0.792062982916832,0.3914064220801183,0.681999683380127,,,0.07535646855831146,0.07749390939305031,0.00962292030453682,0.023306297044100806,0.9869432942941785,0.09809648466961912,0.23116251826286316,res_drop_path,35781,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__res_drop_path__seed0.npz,tabular_sine:res_drop_path:seed0,0,ok,regression,256,1024,3.852647599996999
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.33532923460006714,0.3207125246196952,0.17968103289604187,0.11390117569204793,0.7408691942691803,0.4238879956970259,0.7332792282104492,,,0.08448232710361481,0.08499470528949944,0.011598591692745686,0.02585984486154191,0.984507380053401,0.10769675804194705,0.2639937996864319,res_drop_path,35781,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__res_drop_path__seed1.npz,tabular_sine:res_drop_path:seed1,1,ok,regression,256,1024,3.787876799935475
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.15020424127578735,0.14403924849733876,0.0392688512802124,0.05163416646456695,0.9467003792524338,0.19816369818968457,0.3901044726371765,,,0.09401828795671463,0.09668506005651671,0.014625666663050652,0.028732781374556576,0.9801553972065449,0.12093662250555309,0.2947465777397156,res_no_norm,35461,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__res_no_norm__seed0.npz,tabular_sine:res_no_norm:seed0,0,ok,regression,256,1024,3.330212499946356
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.5342072248458862,0.5109215960688297,0.4148111343383789,0.17306222849807354,0.40177130699157715,0.6440583314719086,1.0730944871902466,,,0.47365254163742065,0.47652520433912604,0.3206932842731476,0.1359778649144255,0.5716394484043121,0.5662978759214514,0.9554722309112549,res_no_norm,35461,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__res_no_norm__seed1.npz,tabular_sine:res_no_norm:seed1,1,ok,regression,256,1024,3.14042289997451
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.682013988494873,0.6540213614015289,0.6977346539497375,0.21764977305040678,0.052964627742767334,0.835305126256111,1.3365435600280762,,,0.6446118354797363,0.662895861868847,0.6321220397949219,0.18889492902716193,0.1423153281211853,0.7950610289750856,1.260482668876648,sgr_base,16257,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__sgr_base__seed0.npz,tabular_sine:sgr_base:seed0,0,ok,regression,256,1024,6.235409199958667
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.652084469795227,0.6236606743302445,0.5924919843673706,0.206832284489459,0.14552509784698486,0.769735009186519,1.3030946254730225,,,0.6685380935668945,0.6725927206980394,0.6572146415710449,0.19466008117379974,0.12213683128356934,0.8106877583700428,1.2724121809005737,sgr_base,16257,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__sgr_base__seed1.npz,tabular_sine:sgr_base:seed1,1,ok,regression,256,1024,5.9470573998987675
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.6820091009140015,0.6540166744268487,0.6974989175796509,0.21761300240872117,0.05328458547592163,0.8351640063961394,1.3341529369354248,,,0.6447277069091797,0.6630150199215837,0.632057249546051,0.18888524825168695,0.142403244972229,0.7950202824746366,1.2615938186645508,sgr_fourier_feats,16257,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__sgr_fourier_feats__seed0.npz,tabular_sine:sgr_fourier_feats:seed0,0,ok,regression,256,1024,7.110423499951139
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.6515679359436035,0.6231666557404151,0.5912995934486389,0.20662405454499788,0.14724475145339966,0.7689600727272118,1.3071386814117432,,,0.668335497379303,0.6723888957816637,0.6562705039978027,0.1945202091000597,0.12339794635772705,0.8101052425443269,1.276164174079895,sgr_fourier_feats,16257,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__sgr_fourier_feats__seed1.npz,tabular_sine:sgr_fourier_feats:seed1,1,ok,regression,256,1024,7.2706464000511914
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.6812975406646729,0.6533343195032905,0.6942548155784607,0.2171063481791629,0.05768781900405884,0.8332195482455154,1.3498430252075195,,,0.6467715501785278,0.6651168355740237,0.6301423907279968,0.18859891110498675,0.1450013518333435,0.7938150859790942,1.2828102111816406,sgr_no_gate,9729,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__sgr_no_gate__seed0.npz,tabular_sine:sgr_no_gate:seed0,0,ok,regression,256,1024,1.4166715999599546
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.650780439376831,0.6224134854647599,0.5900614261627197,0.20640760824921162,0.1490303874015808,0.7681545587723344,1.3479061126708984,,,0.6693939566612244,0.673453774529825,0.6538234949111938,0.19415722063028898,0.12666648626327515,0.8085935288580993,1.315659523010254,sgr_no_gate,9729,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__sgr_no_gate__seed1.npz,tabular_sine:sgr_no_gate:seed1,1,ok,regression,256,1024,1.4042752999812365
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.6816353797912598,0.6536582923384997,0.6971614360809326,0.21756035053648626,0.05374264717102051,0.8349619369054692,1.33933424949646,,,0.6447287797927856,0.6630161232368869,0.6321094632148743,0.18889304990899924,0.14233237504959106,0.7950531197441302,1.262087106704712,sgr_no_phase,16257,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__sgr_no_phase__seed0.npz,tabular_sine:sgr_no_phase:seed0,0,ok,regression,256,1024,5.912338100140914
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.6509600877761841,0.6225853031464754,0.5912930965423584,0.2066229194006311,0.1472541093826294,0.7689558482399093,1.299661636352539,,,0.668641209602356,0.6726964621235558,0.6570038199424744,0.19462885709238514,0.12241840362548828,0.8105577215365198,1.2746613025665283,sgr_no_phase,16257,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__sgr_no_phase__seed1.npz,tabular_sine:sgr_no_phase:seed1,1,ok,regression,256,1024,6.026639299932867
tabular_sine,cpu,[8],tabular,,8,,,256,,1024,,,,0.49686217308044434,0.47646892930178825,0.37298694252967834,0.15913286658991266,0.49374473094940186,0.6107265693660939,0.9740357398986816,,,0.060994792729616165,0.06272487328117267,0.006352236494421959,0.018935778380699236,0.9913810696452856,0.07970091903122548,0.19542482495307922,wrn_base,52295,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_sine__wrn_base__seed0.npz,tabular_sine:wrn_base:seed0,0,ok,regression,256,1024,4.569067900069058
