task,model,seed,params_total,params_trainable,param_target,param_mismatch,param_mismatch_ratio,train_size,val_size,test_size,input_shape,epochs,val_loss,steps,train_mse,train_rmse,train_mae,train_smape,train_r2,val_mse,val_rmse,val_mae,val_smape,val_r2,test_mse,test_rmse,test_mae,test_smape,test_r2,history_length,loss_curve_volatility,loss_curve_mean_abs_diff,val_curve_volatility,epoch_time_s_mean,step_time_s_mean,grad_norm_max,loss_nonfinite_steps,grad_nonfinite_steps,train_time_s_total
eaf_temp_lite,psann_conv,0,4609,4609,4609,0,0.0,97,20,20,"[16, 2]",20,1.1749244928359985,20,0.5088098049163818,0.7133090528770695,0.30734944343566895,0.7121713161468506,0.38649260997772217,1.174924373626709,1.0839392850278604,0.5876563191413879,0.6168946027755737,0.16630059480667114,2.303232192993164,1.5176403371659453,0.7299901843070984,1.9362428188323975,-0.11353886127471924,20,0.11726787300550222,0.019223370050129137,0.16025965715984863,0.0034695265494519845,0.00302159579587169,0.677856668118014,0,0,0.06999904802069068
eaf_temp_lite,mlp,0,4665,4665,4609,56,0.012150141028422651,97,20,20,"[16, 2]",20,1.232313632965088,20,0.6217523813247681,0.7885127654799052,0.3434707820415497,0.8602681159973145,0.25030994415283203,1.232313632965088,1.110096226894357,0.6568515300750732,1.144524097442627,0.12557846307754517,2.2145369052886963,1.4881320187700742,0.631480872631073,1.9375450611114502,-0.07065761089324951,20,0.07489109791812942,0.013137309174788626,0.11514160909765453,0.0009247002977645025,0.0007371355954091996,0.7652910376048988,0,0,0.018817481002770364
eaf_temp_lite,psann_conv,1,4609,4609,4609,0,0.0,97,20,20,"[16, 2]",20,1.1431564092636108,20,0.534504234790802,0.7310979652487086,0.39537182450294495,1.4186627864837646,0.3555110692977905,1.1431564092636108,1.0691849275329366,0.6809312701225281,1.659772515296936,0.18884235620498657,2.2576022148132324,1.5025319347066246,0.773070216178894,1.9308042526245117,-0.09147834777832031,20,0.08640090227136794,0.01443670297923841,0.11916258461418583,0.0021304086490999906,0.0017811469442676753,0.5768976442321846,0,0,0.04320349101908505
eaf_temp_lite,mlp,1,4665,4665,4609,56,0.012150141028422651,97,20,20,"[16, 2]",20,1.2059155702590942,20,0.5198192596435547,0.7209849233122386,0.3212605118751526,0.7697891592979431,0.37321776151657104,1.2059156894683838,1.0981419259223208,0.5923444032669067,0.5723578929901123,0.1443098783493042,2.1090667247772217,1.452262622522945,0.7528769373893738,1.9320042133331299,-0.019666194915771484,20,0.09156416022370849,0.015946849396354275,0.09018704741787023,0.0010675698547856882,0.0008750604494707659,0.6949660621535813,0,0,0.02167861902853474
eaf_temp_lite,psann_conv,2,4609,4609,4609,0,0.0,97,20,20,"[16, 2]",20,1.1551660299301147,20,0.4876447916030884,0.6983156819111886,0.3233785927295685,0.8454984426498413,0.4120127558708191,1.1551659107208252,1.0747864488915113,0.5953961610794067,0.6931132078170776,0.18032068014144897,2.3286452293395996,1.5259899178368117,0.7578667402267456,1.9263391494750977,-0.12582528591156006,20,0.10296364644532532,0.016803421472248278,0.11589428660081705,0.002190293304738589,0.0018406084476737306,0.5826530610634509,0,0,0.04439555300632492
eaf_temp_lite,mlp,2,4665,4665,4609,56,0.012150141028422651,97,20,20,"[16, 2]",20,1.2152290344238281,20,0.5605917572975159,0.7487267574339226,0.3277905583381653,0.8139313459396362,0.324055552482605,1.2152290344238281,1.1023742714812552,0.6591978073120117,1.0507711172103882,0.13770133256912231,2.157721757888794,1.4689185674804421,0.6646283864974976,1.9260261058807373,-0.043189287185668945,20,0.06778856992482357,0.01193434941141229,0.06793288047801278,0.0009785025933524594,0.0007957475987495855,0.584706696998477,0,0,0.01988901395816356
eaf_temp_lite,psann_conv,3,4609,4609,4609,0,0.0,97,20,20,"[16, 2]",20,1.1962381601333618,20,0.5354284644126892,0.7317297755405948,0.3064286410808563,0.697293221950531,0.35439664125442505,1.1962380409240723,1.093726675602306,0.6157253980636597,0.7936126589775085,0.15117686986923218,2.259364128112793,1.5031181351153984,0.6880557537078857,1.9438915252685547,-0.09233009815216064,20,0.08506141251220614,0.014174141381916246,0.08545907109592837,0.0021862059889826923,0.0018039432528894396,0.5759205840366026,0,0,0.04429774300660938
eaf_temp_lite,mlp,3,4665,4665,4609,56,0.012150141028422651,97,20,20,"[16, 2]",20,1.2460167407989502,20,0.6269214153289795,0.7917836922600638,0.3404049575328827,0.8126330971717834,0.24407720565795898,1.2460167407989502,1.1162511996853353,0.6069684624671936,0.7711818814277649,0.11585503816604614,2.1596121788024902,1.469561900296306,0.6997746229171753,1.947737455368042,-0.044103264808654785,20,0.07056905132050668,0.012438388247238962,0.10791932873471524,0.0008961039507994428,0.0007144506555050612,0.7043114772857522,0,0,0.018235298979561776
eaf_temp_lite,psann_conv,4,4609,4609,4609,0,0.0,97,20,20,"[16, 2]",20,1.1688547134399414,20,0.5253449082374573,0.7248068075269832,0.29851624369621277,0.6572303771972656,0.3665550947189331,1.1688547134399414,1.0811358441194805,0.5808812379837036,0.603878378868103,0.17060744762420654,2.2574105262756348,1.5024681448455521,0.7123810052871704,1.9363718032836914,-0.0913856029510498,20,0.10488728656727804,0.017459489797291002,0.14942070489523895,0.002129846249590628,0.0017723483557347207,0.6657656981069051,0,0,0.04317881801398471
eaf_temp_lite,mlp,4,4665,4665,4609,56,0.012150141028422651,97,20,20,"[16, 2]",20,1.2098203897476196,20,0.5973036885261536,0.7728542479188126,0.3567502200603485,1.0221525430679321,0.27978938817977905,1.2098205089569092,1.099918410136365,0.6448584794998169,1.0335079431533813,0.14153903722763062,2.1730284690856934,1.4741195572563621,0.7271546125411987,1.9368846416473389,-0.050589561462402344,20,0.07639577067715292,0.013466126040408486,0.10472643394885432,0.0009016839001560583,0.0006820039037847891,0.7612393903545942,0,0,0.018359268025960773
